,Rating
0,4.371883
1,4.8094797
2,4.9684296
3,4.824381
4,2.3046346
5,3.0232408
6,4.2147818
7,4.141211
8,4.338872
9,2.9957867
10,6.949617
11,5.7567434
12,3.2447438
13,6.6259055
14,3.3301332
15,5.6918
16,6.8350496
17,7.7514205
18,5.0382967
19,8.616984
20,9.75256
21,7.4537163
22,4.776297
23,5.176832
24,6.703208
25,7.72885
26,8.160639
27,7.3221097
28,6.0833426
29,5.0987
30,5.150352
31,6.3319635
32,7.9425764
33,3.6308432
34,2.1107588
35,5.5915937
36,2.2972772
37,5.540621
38,4.3012094
39,9.312427
40,3.4074235
41,3.974628
42,3.4472976
43,6.882029
44,5.391872
45,3.4556339
46,6.8132234
47,2.6191146
48,7.6402984
49,3.682364
50,4.760162
51,5.043094
52,4.9739256
53,4.239909
54,8.307865
55,5.4898257
56,4.024436
57,4.4337845
58,7.7493715
59,1.7120786
60,7.4008045
61,2.2362056
62,9.874493
63,4.5647573
64,9.140493
65,9.50146
66,4.7541637
67,2.317727
68,2.8597443
69,4.471079
70,6.666182
71,5.7714653
72,3.2603548
73,2.433682
74,2.3322043
75,4.27085
76,3.8257456
77,7.703342
78,2.5026548
79,8.648535
80,4.0709505
81,7.6848254
82,1.4358382
83,1.3993428
84,7.012816
85,3.0991037
86,7.717106
87,2.9828382
88,7.9027605
89,7.247371
90,6.139481
91,3.9437077
92,6.719089
93,9.298579
94,7.065432
95,6.9870234
96,3.109858
97,5.4828753
98,6.744774
99,6.182926
100,9.038083
101,2.6310534
102,4.7946925
103,4.95732
104,2.6028557
105,5.493966
106,3.3333118
107,2.3940141
108,1.908792
109,6.4064455
110,7.482315
111,9.248971
112,5.1568594
113,6.4964113
114,8.248762
115,8.356789
116,7.744816
117,8.535324
118,2.2719023
119,3.7922661
120,4.5803976
121,7.9352746
122,5.7173524
123,2.7157373
124,5.324735
125,8.208029
126,3.7644553
127,5.5575075
128,3.6894126
129,5.845118
130,3.3815527
131,6.1653013
132,2.3452601
133,5.4028244
134,7.6554914
135,1.5233666
136,2.8455446
137,2.7014709
138,6.81754
139,2.7689624
140,7.280486
141,4.6056633
142,8.789423
143,3.7541244
144,2.1782374
145,5.1627526
146,4.871967
147,1.5234329
148,3.0276675
149,6.9364266
150,6.987267
151,2.1365712
152,6.9352283
153,3.978136
154,7.5256405
155,3.9801059
156,5.064268
157,3.3010864
158,5.8664804
159,3.6123605
160,6.561157
161,5.7790103
162,3.2044356
163,2.4413497
164,3.0109844
165,6.234381
166,7.541711
167,3.6597552
168,6.7799344
169,4.798157
170,3.7596478
171,8.9632
172,3.533651
173,2.7378464
174,5.4900093
175,7.9197087
176,7.620016
177,9.438485
178,2.7829967
179,4.2404385
180,4.456693
181,8.53882
182,3.2122896
183,2.45037
184,3.3944364
185,2.9078424
186,5.7731385
187,2.6908846
188,4.282792
189,1.7761121
190,4.333102
191,3.2786887
192,1.6234872
193,2.3693717
