,Review,Rating
0,"Mismatched travellers are stranded overnight at a lonely rural railway station. They soon learn of local superstition about a phantom train which is said to travel these parts at dead of night, carrying ghosts from a long-ago train wreck in the area. The travelers eventually get to the bottom of the things that go bump in the night.",8.0
1,"In 1900, strong-willed widow Lucy Muir goes to live in Gull Cottage by the British seaside, even though it appears to be haunted. On her very first night she meets the ghost of the crusty former owner, Captain Gregg—and refuses to be scared off. They eventually become friends and allies, after Lucy gets used to the idea of a man's ghost haunting her bedroom.",7.7
2,"In 1867, a gang led by James ""Stretch"" Dawson robs a bank and flees into the desert. Out of water, the outlaws come upon a ghost town called Yellow Sky and its only residents, a hostile young woman named Mike and her grandpa. The story is a Western adaptation of William Shakespeare's ""The Tempest"".",6.9
3,"Reclusive Dr. Zorba has died and left his mansion to his nephew Cyrus and his family. They will need to search the house to find the doctor's fortune, but along with the property they have also inherited the occultist's collection of 13 ghosts.",5.8
4,The twisted Richard III is haunted by the ghosts of those he has murdered in his attempt to become the King of England.,6.2
5,"Initially a documentary about the making of Jess Franco’s “Count Dracula” (a 1970 vampire movie starring Christopher Lee), ""Cuadecuc, Vampir"" presents ""an intervention"": an atmospheric, silent, black and white film-essay, serving as an alternative version of the original movie, showing grainy footage of the performers–both in and out of their characters–wandering through the Gothic sets and the natural locations; a ghostly narration between fiction and reality.",5.9
6,"A singer holes up at a sinister estate to write new songs for his act. The ghost of his murdered wife begins to haunt him, then the person who actually killed her shows up at the mansion.",5.5
7,"A young man has an affair with an older woman. He is very jealous of her husband and decides that they should kill him. One night, after the husband had plenty of sake to drink and was in bed, they strangle him and dump his body down a well. To avert any suspicions, she pretends her husband has gone off to Tokyo to work. For three years the wife and her lover secretly see each other. Finally, suspicions become very strong and people begin to gossip. To make matters worse, her husband's ghost begins to haunt her and the law arrives to investigate her husband's disappearance.",6.9
8,"Nightmares of the past haunt the beautiful, mysterious Olivia, a London resident who begins a passionate affair with American businessman Mike. Trapped in a loveless marriage and traumatized by memories of her mother's brutal murder, Olivia hopes her lover will offer a chance at a new life. However, ghostly voices and brutal murders ignite a fiendish, twist-filled story of double identities, deception, and erotic terror.",5.1
9,"Garfield and his pup pal Odie go trick-or-treating, only to wind up in a house haunted by ghostly pirates. Based off the book Garfield In Disguise",7.5
10,"Alex West is a man who roomed with Norman Bates at the state lunatic asylum for nearly 20 years. After Bates' death, Alex finds that he is in Norman's will as the inheritor of the Bates Motel, which has been vacant since Norman's arrest. Alex travels to Bates' California hometown and with a little help from a teenage runaway, Willie, Alex struggles to re-open the motel for business, only to have strange things happen. Is someone trying to drive him away, or is the motel really haunted by the ghost of Norman's mother?",4.5
11,"Deputy Langley tracks a kidnapped girl to an abandoned ghost town. However, the town is not abandoned, but haunted by the spirits of an outlaw, Devlin, and his gang, who hold the equally deceased townspeople hostage until the outlaws can be killed by a lawman.",4.6
12,"Frank Cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life. But after firing staff member Eliot Loudermilk  on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.",6.8
13,"When a teenaged girl moves to England, with her brothers and parents into the ancient Canterville Hall, she's not at all happy. Especially as there's a ghost and a mysterious re-appearing bloodstain on the hearth. She campaigns to go back home, and her dad, believing the ghost's pranks are Ginny's, is ready to send her back. But then Ginny actually meets the elusive 17th-century Sir Simon de Canterville (not to mention the cute teenaged duke next door), and she sets her hand to the task of freeing Sir Simon from his curse.",6.1
14,"Years after moving to Tokyo with her parents, Hinako returns to her hometown in rural Shikoku. She soon learns that her childhood friend, Sayuri, died several years ago and that Sayuri's mother, who used to perform seances and exorcisms, has gone almost insane with grief. After seeing Sayuri's ghost several times during the night, Hinako consults with some local experts on the paranormal and discovers that Sayuri's mother has something planned for her daughter...",6.0
15,"Once called Father Frank for his efforts to rescue lives, Frank sees the ghosts of those he failed to save around every turn. He has tried everything he can to get fired, calling in sick, delaying taking calls where he might have to face one more victim he couldn't help, yet cannot quit the job on his own.",6.6
16,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",6.4
17,"A haunting documentary of a normal family living in Connecticut, who, after moving into their new house, are terrorized by an evil ghost that dwells in the home.",6.3
18,"A teenager is assaulted and killed, but returns as a ghost to find his killer.",6.3
19,"A ghost and a French marquis wander through the Winter Palace in St Petersburg, encountering scenes from many different periods of its history.",7.5
20,"After discovering a passenger ship missing since 1962 floating adrift on the Bering Sea, salvagers claim the vessel as their own. Once they begin towing the ghost ship towards harbor, a series of bizarre occurrences happen and the group becomes trapped inside the ship, which they soon learn is inhabited by a demonic creature.",5.9
21,"Four kids find out that a a ghost has been haunting the nearby forest. The most inventive one of them invents a contraption that will help them capture the restless ghost and thus the Ghost Club is started. One day, one of the kids finds out that her mother may lose the family business to an evil businessman, so the Ghost Club sets out to rectify the situation.",3.3
22,"After Brad and Meg move to a detached house in need of major repairs after a fire and decades of neglect, they're happy that cheerful teenage son Tyler behaves normally, for puberty. Young daughter Gina's stories about sometimes evil 'fairies' are equally dismissed, but get worse. Self-appointed handyman warns Iver Hagen them for 'things worse than ghosts' and ever scarier things happen. Ma irrationally believes the house bad yet refuses long to have Gina examined by Dr. Werner, who has a patient Olive obsessed by similar trolls. By the time the pieces are fitted, it may be too late.",6.1
23,"On a dark, rainy night, a historic and regal Taipei cinema sees its final film: 1967 martial arts feature ""Dragon Inn"". As the film plays, the lives of the theater's various employees and patrons intersect, and two ghostly actors arrive to mourn the passing of an era.",6.6
24,"Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Martinson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.",6.9
25,"A folklore professor becomes unwittingly possessed by the ancient Japanese demons of Thunder and Lightning. But when The Bureau of Paranormal Research & Defense dispatches a team of agents to investigate, a cursed samurai sword sends Hellboy to a supernatural dimension of ghosts, monsters, and feudal mayhem. Now while pyrokinetic Liz Sherman and fishboy Abe Sapien battle one very pissed-off dragon, a lost and cranky Hellboy must find his way home.",6.2
26,"Christy Dawson is a conduit between the worlds of the living and the dead. Unable to control or understand her ghostly visions, she's increasingly witness to disturbing glimpses into the future. Someone is killing everyone around her and she's running out of people who she can trust. Can Christy uncover the truth behind a decades-old mystery before ending up the next victim?",3.9
27,"Dr. Jung Nam finds a photo album dating back to his days as an intern at the Ansaeng Hospital. This triggers memories of his life. In 1942, as a young medical intern, Jung-Nam's arranged marriage ended when his fiancée, whom he had never met, committed suicide. Later he was assigned to monitor the morgue late at night. There he fell in love with a corpse, which is later revealed as the body of his deceased fiancée. Soon other mysterious events take place in the hospital, involving a young girl haunted by ghosts and a serial killer targeting Japanese soldiers.",6.4
28,"Wanting to start a fresh, Katrine moves from the province into a dormitory in Copenhagen and enrolls at the University. But when she crosses conniving Sanne by getting together with Sanne's ex, all hell breaks loose. Sanne and her friends frighten Katrine with an old myth surrounding the ghost of a former resident. Yet the myth very soon becomes reality.",4.1
29,"A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.",5.5
